Product Title,Price,Brand,Operating System,RAM,CPU Model,CPU Speed,Memory Storage,Screen Size,Resolution,Model Name,Wireless Carrier,URL
"REDMAGIC 10 Pro Smartphone 5G, 144Hz Gaming Phone, 6.8"" FHD+ Screen, Under Display Camera, 7050mAh Android Phone, Snapdragon 8 Elite, 12+256GB, 80W Charger, Dual-Sim, US Unlocked Cell Phone Black",$749.00,REDMAGIC,Android 15.0,12 GB,Snapdragon,"4.32, 3.53 GHz",256 GB,6.85 Inches,2688 x 1216,10 Pro Black,,https://www.amazon.com/REDMAGIC-Smartphone-Snapdragon-Dual-Sim-Unlocked/dp/B0DNPXS894/ref=sr_1_25
"Cheap Mobile Phones, 5.0 Inch, Android 9.0, Dual SIM Dual Camera, Quad Core, 16GB ROM【Expandable up to 128GB】, Support WiFi/Bluetooth/FM, Face Unlocked Phones (Purple)",$50.99,TalkCeLL,Android 9.0,1 GB,MediaTek Kompanio 800T,,16 GB,5 Inches,480 x 854,TC23Ulta,3,https://www.amazon.com/TalkCeLL-Smartphones-ROM%E3%80%90Expandable-Bluetooth-Unlocked/dp/B0D48Z3ZCH/ref=sr_1_26
"TCL 40 XE 5G (Spectrum Unlocked) - 6.56"" HD+ Display, 5G Connectivity, 5000mAh Battery, 4GB RAM + 64GB Storage, Android Smartphone",$89.29,TCL,Android,4 GB,Mediatek 8389 Quadcore,2.2 GHz,64 GB,6.56 Inches,,TCL 40 XE 5G,Unlocked,https://www.amazon.com/TCL-40-XE-Spectrum-Unlocked/dp/B0DV7KFHBZ/ref=sr_1_27
"CAT S22 Smart Flip Phone Unlocked (16GB) 2.8"" Touchscreen Rugged Cell Phone Android 11, IP68 Water Resistant, T-Mobile 4G LTE GSM Single Nano Slot,Compatible with T-Mobile (New)",$125.99,Unifone,Android 11.0,2 GB,,,15.99 GB,2.8 Inches,640 x 480,S22 FLIP,T-Mobile,https://www.amazon.com/S22-Flip-Touchscreen-Resistant-Compatible/dp/B0DK99QFDV/ref=sr_1_28
"Samsung Galaxy S24 Ultra Cell Phone, 256GB AI Smartphone, Unlocked Android, 200MP, 100x Zoom Cameras, Fast Processor, Long Battery Life, Edge-to-Edge Display, S Pen, US Version, 2024, Titanium Gray","SAMSUNG Galaxy S24 Ultra Cell Phone, 256GB AI Smartphone, Unlocked Android, 200MP, 100x Zoom Cameras, Long Battery Life, S Pen, Global Version, 2024 - Titanium Black",Samsung,"Android 14, One UI 6.1",12 GB,,,256 GB,6.8 Inches,3120 x 1440 pixels,Galaxy S24 Ultra,Unlocked for All Carriers,https://www.amazon.com/SAMSUNG-Smartphone-Unlocked-Android-Titanium/dp/B0CMDL3H3P/ref=sr_1_29
"Unlocked Cell Phones A24 Ultra Smartphone Android 13 Unlocked Phones 8+256GB 6.8"" HD Screen Dual SIM 108MP+48MP Camera 6800 mAh and Built-in Pen (Black)",$169.99,MechanicalZeal,Android 13.0,8 GB,,,256 GB,6.8 Inches,,A24 Ultra,Unlocked for All Carriers,https://www.amazon.com/MechanicalZeal-Unlocked-A24-Ultra-Smartphone/dp/B0F37SWCRP/ref=sr_1_30
"14PROMA X Unlocked Cell Phone,Long Battery Life 6.82"" HD Screen Unlocked Phones,Android13 12+512GB Smartphone with 128G Memory Card,Dual SIM/Fingerprint Lock/Face ID/GPS (Blue)",$158.99,A SLICE RED,Android 13.0,512 GB,Snapdragon,2.45 GHz,256 GB,6.82 Inches,3040 x 1440,14PROMA X,Unlocked for All Carriers,https://www.amazon.com/SLICE-RED-Android13-Smartphone-Fingerprint/dp/B0DBRH4W9W/ref=sr_1_31
"TryFirst Cheap Mobile Phones, 5.0 Inch Dual SIM Dual Camera, Quad Core, 16GB ROM【Expandable up to 128GB】, Support WiFi/Bluetooth/FM, Face Unlocked Cell Phone (Black)",$48.99,TryFirst,Android 9.0,1 GB,,,16 GB,5 Inches,480x854,TryFirst T24Ultra,Unlocked,https://www.amazon.com/TryFirst-ROM%E3%80%90Expandable-Support-Bluetooth-Unlocked/dp/B0F2SQK8L2/ref=sr_1_32
"CMF Phone 1 8+128GB - Unlocked Smartphone with 50 MP Rear Camera with Ultra XDR, 6,67"" Super AMOLED Display and Nothing OS 2.6 - Black",$209.00,CMF BY NOTHING,Nothing OS,16 GB,,,128 GB,6.7 Inches,1080 x 2400,CMF Phone 1,Unlocked,https://www.amazon.com/CMF-Phone-128GB-Unlocked-Smartphone/dp/B0D7ZX64NF/ref=sr_1_35
"Xiaomi Poco X6 Pro 5G Global Unlocked (512GB + 12GB) GSM 6.67"" 64MP Triple Camera (for Tmobile Mint Tello Global) (Yellow Global ROM)",$299.99,Xiaomi,"Android 14, HyperOS",12 GB,Others,2 GHz,512 GB,6.67 Inches,2712 x 1220,Poco x6 5G,,https://www.amazon.com/Xiaomi-Global-Unlocked-Tmobile-Charger/dp/B0CSB222W4/ref=sr_1_36
"Motorola Moto G35, 256GB Storage, 8GB RAM, 6.72"" Display, Dual SIM Unlocked Smartphone, Leaf Green",$170.00,Motorola,Android 14,8 GB,,,8 GB,6.72 Inches,Full Hd+,Moto G35,Unlocked,https://www.amazon.com/Motorola-Storage-Display-Unlocked-Smartphone/dp/B0F67J4HWD/ref=sr_1_37
Nokia 110 4G | Dual SIM | GSM Unlocked Mobile Phone | Volte | Blue | International Version | Not AT&T/Cricket/Verizon Compatible,$39.99,Nokia,Series 30+,512 MB,,,128 MB,1.8 Inches,160 x 120,110 4G,Unlocked,https://www.amazon.com/Nokia-Unlocked-International-Version-Compatible/dp/B0CWWC2G6F/ref=sr_1_38
"UMIDIGI G9C Unlocked Cell Phone Android 14,Octa-core 6+6GB +128GB Expand 1TB Unlocked Smartphone,6.75"" HD+ 90Hz,5000mAh Battery,50MP Camera,GPS,BT 5.5,NFC,AI Face Unlock,Warranty,Black",$102.99,UMIDIGI,Android 14,6 GB,,,128 GB,,,6+128GB,Unlocked for All Carriers,https://www.amazon.com/UMIDIGI-G9C-Unlocked-Octa-core-Smartphone/dp/B0DX683797/ref=sr_1_39
"SAMSUNG Galaxy A26 5G Ai (for Tmobile Mint Tello & Global) (128GB + 6GB) Version Latina NFC Unlocked SM-A266M/DS 6.6"" 120Hz 50MP Triple (Mint SM-A266MLGDTPA)",$210.00,Samsung,android,6 GB,,,128 GB,170.1 Millimeters,1080 x 2340,A26 5G,Unlocked,https://www.amazon.com/SAMSUNG-Unlocked-SM-A266M-DS-SM-A266MLGDTPA/dp/B0F253W4KM/ref=sr_1_40
"16 ProMa x Smartphone Unlocked Cell Phone, 6.99“ HD Screen5G Phone, 12+512GB Phone Unlocked, Android 13.0, 68+108MP Zoom Camera, Fingerprint Button Unlock-and take Photos (Grey)",$179.99,Nawfait,Android 13.0,,,,512 GB,6.99 Inches,,16 ProMa x,Unlocked for All Carriers,https://www.amazon.com/Nawfait-16-ProMa-Smartphone-Fingerprint/dp/B0F9XHCL5V/ref=sr_1_41
"5.0 Inch HD Display, Dual SIM 3G/2G Cheap Mobile Phone, 16GB ROM【Expandable up to 128GB】, Android 9.0, WiFi/Bluetooth/Face Unlocked Phone (Blue)",$48.99,LatsYrs,Android 9.0,1 GB,,,16 GB,5 Inches,1280 x 720,LatsYrs M10Plus,3,https://www.amazon.com/LatsYrs-Display-ROM%E3%80%90Expandable-Bluetooth-Unlocked/dp/B0DB5GZLW9/ref=sr_1_42
"DOOGEE Note 59 Pro+ 5G Android 15 Unlocked Cellphone, 36GB+512GB/2TB Expand Mobile Smartphone with 6.75"" HD+ Display 120Hz, 6250mAh,5G Dual Sim Cell Phone, Face ID/Fingerprint/Widevine L1/NFC/OTG",$249.98,DOOGEE,Android 15,36 GB,Others,120 Hz,512 GB,6.75 Inches,,NOTE59PRO+-BLACK,Unlocked for All Carriers,https://www.amazon.com/DOOGEE-Unlocked-Cellphone-Smartphone-Fingerprint/dp/B0DSL7D3G7/ref=sr_1_45
"C24 Ultra Unlocked Cell Phones Smartphone Android 13 Phones 8+256GB/6.8"" HD Screen/Dual SIM/108MP+48MP Camera/6800 mAh/Built-in Pen (Green)",$169.99,DragoFab,Android 13.0,8 GB,Unknown,,256 GB,6.8 Inches,,C24 Ultra,Unlocked for All Carriers,https://www.amazon.com/DragoFab-C24-Ultra-Unlocked-Smartphone/dp/B0DYV5JFLB/ref=sr_1_46
"Unlocked Android Phone A15 PROMAX Android 13 Cell Phone with Dynamic Island 6GB+256GB 6800mAh,Fast Charging,HD Screen 48MP+108MP Camera Cell Phone with 5G Dual SIM Smart Phone (White)",$159.99,yowsley,Android 13.0,256 GB,Snapdragon,2.45 GHz,256 GB,,,A15 PRO,Unlocked for All Carriers,https://www.amazon.com/yowsley-Unlocked-Android-A15-Charging/dp/B0F7LSQDKS/ref=sr_1_47
"Blackview BV6200Plus Rugged Phone Android 15, 98dB Super Speaker 11000mAh, 24GB+256GB/2TB Rugged Smartphone Unlocked, 6.56"" HD+ 90Hz Waterproof Phone 2025 NFC/Fingerprint/GPS/T-moblie/IP69K/3 Slots",$199.99,Blackview,Android 15,24 GB,,2 Hz,256 GB,6.56 Inches,1080 x 2340,1 Plus,Unlocked for All Carriers,https://www.amazon.com/Blackview-BV6200Plus-Smartphone-Waterproof-Fingerprint/dp/B0DZNNRBMS/ref=sr_1_48
"Car Phone Holder for Magsafe [78+LBS Strongest Suction & 2400gf Strongest Magnetic] 360° Adjustable Car Phone Mount, Phone Holders for Your Car for iPhone 16 Pro Max 15 14 13 12 Plus (Carbon Fiber)",$26.98,ANDERY,,,,,,,,,,https://www.amazon.com/Magsafe-Strongest-Suction-Magnetic-Adjustable/dp/B0DN1S1YLV/ref=sr_1_49
"15PROMax5G Unlocked Smartphone,12GB+512GB Fully Cell Phone for Android 14, 6.8"" Unlocked Cell Phone, 6800mAh, 48MP+108MP Dual Camera/Dual SIM/Fingerprint Lock/Face (Black)",$158.88,Ecshock,Android 14,512 GB,,,512 GB,6.8 Inches,1080 x 2340,15ProMa,Unlocked for All Carriers,https://www.amazon.com/Ecshock-15PROMax5G-Unlocked-Smartphone-Fingerprint/dp/B0DSYY5HZG/ref=sr_1_50
Simple Mobile | Samsung Galaxy A16 5G | Locked | 128GB | 5000mAh Battery | 50 MP Camera | Black | Prepaid Smartphone,$129.00,Simple Mobile,Android 14,4 GB,,,4 GB,6.7 Inches,1080 x 2340 pixels,Galaxy A16 5G,Simple Mobile,https://www.amazon.com/Simple-Mobile-Samsung-5000mAh-Smartphone/dp/B0DWVGXPLB/ref=sr_1_51
"UMIDIGI G9X Unlocked Cell Phone,6.75"" 90Hz Display Smart Phone,Android 14 Phone,5000mAh,Octa-Core 8(4+4)+64GB 1TB,Face ID Unlock,4G Dual SIM Phone,GPS,FM Radio,Show captions,Unlocked Android Phones",$109.99,UMIDIGI,Android,4 GB,,1600 MHz,64 GB,6.75 Inches,,G9X,Unlocked for All Carriers,https://www.amazon.com/UMIDIGI-G9X-Unlocked-Octa-Core-captions/dp/B0F7L88GB9/ref=sr_1_52
"DJI Osmo Mobile SE, 3-Axis Phone Gimbal, Portable and Foldable, Gimbal Stabilizer for iphone, Andriod, ShotGuides, ActiveTrack 6.0, Vlogging Stabilizer for Youtube, TikTok, Travel",$69.00,DJI,,,,,,,,,,https://www.amazon.com/DJI-Osmo-Mobile-SE-ActiveTrack/dp/B0B7XCG225/ref=sr_1_49
"TryFirst Cheap Mobile Phones, 5.0 Inch IPS Display, Dual SIM Dual Camera, Quad Core, 16GB ROM【Expandable up to 128GB】, Support WiFi/Bluetooth/FM, Face Unlocked (Pova5Pro-Black)",$47.99,TryFirst,Android 9.0,1 GB,,,16 GB,5 Inches,1280 x 720,TryFirst-Pova5Pro,3,https://www.amazon.com/TryFirst-ROM%E3%80%90Expandable-Bluetooth-Unlocked-Pova5Pro-Black/dp/B0D9XBB2ZW/ref=sr_1_50
"C24 Pro Unlocked Android Phone Build-in Pen, 8+256GB Storage Cell Phone, Android 14.0 Smartphone, 6.8“ HD Screen, 108MP Zoom Camera | 5G Phone | Dual SIM & Face ID | 6800mAh Battery-Blue",$158.88,Jierrp Deepaar,Android 14,,,,256 GB,6.82 Inches,,C24 Pro,Unlocked for All Carriers,https://www.amazon.com/Unlocked-Android-Storage-Smartphone-Battery-Blue/dp/B0F5X54J2W/ref=sr_1_51
"Mobile Phone Navigation Magnetic Bracket, L Type 360° Rotatable Car Phone Mount, Magnetic Navigation Bracket for Any Smartphone 2pcs(Black)",$13.88,TLM,,,,,,,,,,https://www.amazon.com/Navigation-Magnetic-Bracket-Rotatable-Smartphone/dp/B0F9NQH163/ref=sr_1_52
"Unlocked Phone T24 Ultra 5G Smartphone 12+512GB, 48MP+108MP Dual Camera，6800mAh Battery, 6.7"" HD Screen, Unlocked Cell Phone, Android 14.0,Face ID/Fingerprint Lock/GPS 5G (Titanium Purple)",$126.99,,,,,,,,,,,https://www.amazon.com/Unlocked-Smartphone-Camera%EF%BC%8C6800mAh-Fingerprint-Titanium/dp/B0F2SCNH2K/ref=sr_1_53
